date,short_haul_hkd,medium_haul_hkd,long_haul_hkd
2018-11-01,146,146,652
2019-01-31,131,131,584
2019-02-01,100,100,448
2019-04-01,131,131,584
2020-01-01,116,116,516
2020-02-01,131,131,584
2020-03-01,116,116,516
2020-04-01,85,85,380
2020-05-01,0,0,0
2022-11-01,253,253,1127
2023-02-01,207,207,923
2023-03-01,253,253,1127
2023-04-01,207,207,923
2023-06-01,161,161,719
2023-09-01,207,207,923
2023-10-01,253,253,1127
2024-01-01,207,207,923
2024-07-01,161,161,719
2024-08-01,207,207,923
2024-09-01,161,161,719
2025-06-01,142,142,569
2026-01-01,191,191,767
2026-02-01,142,142,569
2026-03-18,290,541,1164
2026-04-01,389,725,1560
2026-05-16,339,633,1362
